,dataset_code,frequency,date,value,z_score
253119,CY3X,monthly,2022-11-01,117.2,2.8510618621345034
253120,CY3X,monthly,2022-12-01,122.4,3.1977701957308358
230584,CY3X,annual,2023-01-01,123.6,3.277779811176142
253122,CY3X,monthly,2023-02-01,112.0,2.5043535285381715
253123,CY3X,monthly,2023-03-01,112.7,2.551025804214601
253124,CY3X,monthly,2023-04-01,120.1,3.0444184327939956
253125,CY3X,monthly,2023-05-01,124.5,3.337787022760123
253126,CY3X,monthly,2023-06-01,120.7,3.08442324051665
253127,CY3X,monthly,2023-07-01,126.5,3.4711363818356356
253128,CY3X,monthly,2023-08-01,129.8,3.6911628243102315
253129,CY3X,monthly,2023-09-01,119.4,2.997746157117567
253130,CY3X,monthly,2023-10-01,130.2,3.7178326961253325
253131,CY3X,monthly,2023-11-01,148.1,4.911309459851168
253132,CY3X,monthly,2023-12-01,140.6,4.411249363317997
230585,CY3X,annual,2024-01-01,120.8,3.0910907084704253
253133,CY3X,monthly,2024-01-01,112.2,2.517688464445723
253134,CY3X,monthly,2024-02-01,119.1,2.9777437532562394
253135,CY3X,monthly,2024-03-01,117.0,2.837726926226952
253136,CY3X,monthly,2024-04-01,120.0,3.0377509648402206
253137,CY3X,monthly,2024-05-01,127.6,3.544478529327167
253138,CY3X,monthly,2024-06-01,115.5,2.737714906920318
253139,CY3X,monthly,2024-07-01,127.7,3.551145997280943
253140,CY3X,monthly,2024-08-01,122.0,3.171100323915733
253141,CY3X,monthly,2024-09-01,112.7,2.551025804214601
253142,CY3X,monthly,2024-10-01,118.4,2.931071477579811
253143,CY3X,monthly,2024-11-01,121.6,3.14443045210063
253144,CY3X,monthly,2024-12-01,135.8,4.091210901536768
192938,CY3Y,monthly,1988-12-01,190.3,3.198378125617757
192950,CY3Y,monthly,1989-12-01,190.2,3.1945127738223853
192962,CY3Y,monthly,1990-12-01,182.6,2.9007460373742004
193383,CY46,monthly,1988-12-01,526.2,2.804588640837451
193395,CY46,monthly,1989-12-01,539.3,2.92269001117792
193407,CY46,monthly,1990-12-01,521.4,2.7613148562852174
266446,CY4B,monthly,2020-12-01,124.2,2.7871621684423022
266457,CY4B,monthly,2021-11-01,118.3,2.5491373340714323
266458,CY4B,monthly,2021-12-01,124.7,2.807333764575427
266470,CY4B,monthly,2022-12-01,120.9,2.65402963396368
266482,CY4B,monthly,2023-12-01,117.3,2.508794141805183
266493,CY4B,monthly,2024-11-01,121.4,2.6742012300968048
266494,CY4B,monthly,2024-12-01,138.7,3.372138456302914
206660,CY4C,monthly,2019-12-01,123.8,2.532070372991899
206672,CY4C,monthly,2020-12-01,136.2,3.0636287004231253
206683,CY4C,monthly,2021-11-01,124.4,2.557790937222443
206684,CY4C,monthly,2021-12-01,130.5,2.8192833402329653
206720,CY4C,monthly,2024-12-01,130.3,2.8107098188227844
253950,EAFT,monthly,2017-12-01,125.4,2.643368679332768
253962,EAFT,monthly,2018-12-01,127.2,2.727777463513449
253974,EAFT,monthly,2019-12-01,128.2,2.774671232502716
253998,EAFT,monthly,2021-12-01,123.9,2.573028025848867
254010,EAFT,monthly,2022-12-01,132.6,2.9810038160554924
254021,EAFT,monthly,2023-11-01,123.1,2.5355130106574526
254022,EAFT,monthly,2023-12-01,130.6,2.887216278076958
254034,EAFT,monthly,2024-12-01,140.4,3.3467752141717786
256584,EAFU,monthly,2014-12-01,130.5,2.5867812447789014
256620,EAFU,monthly,2017-12-01,132.6,2.6733365075337385
256632,EAFU,monthly,2018-12-01,136.2,2.821716957970602
256644,EAFU,monthly,2019-12-01,133.2,2.6980665826065486
256680,EAFU,monthly,2022-12-01,147.4,3.2833450259964017
256692,EAFU,monthly,2023-12-01,145.9,3.221519838314375
256704,EAFU,monthly,2024-12-01,146.7,3.2544932717447885
263295,EAFW,monthly,2017-12-01,117.6,2.573012880522246
263307,EAFW,monthly,2018-12-01,116.9,2.5392888331026997
263319,EAFW,monthly,2019-12-01,123.2,2.842805259878623
263331,EAFW,monthly,2020-12-01,121.6,2.7657217229196576
263342,EAFW,monthly,2021-11-01,117.4,2.5633774384023758
263343,EAFW,monthly,2021-12-01,127.4,3.045149544395905
263355,EAFW,monthly,2022-12-01,126.5,3.001790054856487
263366,EAFW,monthly,2023-11-01,118.6,2.621190091121599
263367,EAFW,monthly,2023-12-01,126.9,3.0210609390962286
263378,EAFW,monthly,2024-11-01,126.6,3.0066077759164225
263379,EAFW,monthly,2024-12-01,147.4,4.008693756382963
252686,EAGD,monthly,2023-11-01,120.3,2.5187379048911445
252698,EAGD,monthly,2024-11-01,120.8,2.5404853131864273
252699,EAGD,monthly,2024-12-01,126.2,2.7753573227754833
255237,EAGE,monthly,2013-12-01,142.2,2.6987445010025506
255249,EAGE,monthly,2014-12-01,140.7,2.6435660647307624
255261,EAGE,monthly,2015-12-01,146.8,2.867958372236036
255273,EAGE,monthly,2016-12-01,157.2,3.2505288637204344
255285,EAGE,monthly,2017-12-01,162.6,3.4491712342988725
255297,EAGE,monthly,2018-12-01,162.4,3.441814109462635
255309,EAGE,monthly,2019-12-01,158.2,3.2873144879016265
255321,EAGE,monthly,2020-12-01,141.8,2.6840302513300744
255333,EAGE,monthly,2021-12-01,139.6,2.603101878131451
255345,EAGE,monthly,2022-12-01,155.3,3.18063617777617
255357,EAGE,monthly,2023-12-01,152.5,3.0776364300688313
255369,EAGE,monthly,2024-12-01,161.9,3.4234212973720384
255682,EAGF,monthly,2013-12-01,147.6,2.7215916215775446
255694,EAGF,monthly,2014-12-01,145.7,2.656288767903307
255706,EAGF,monthly,2015-12-01,152.8,2.9003152211070367
255718,EAGF,monthly,2016-12-01,165.9,3.350561212229409
255730,EAGF,monthly,2017-12-01,170.0,3.491477896473816
255742,EAGF,monthly,2018-12-01,167.5,3.405553089007714
255754,EAGF,monthly,2019-12-01,163.7,3.274947381659239
255766,EAGF,monthly,2020-12-01,145.3,2.642540798708732
255778,EAGF,monthly,2021-12-01,141.2,2.5016241144643243
255790,EAGF,monthly,2022-12-01,157.4,3.0584168668446634
255802,EAGF,monthly,2023-12-01,156.7,3.0343579207541547
255814,EAGF,monthly,2024-12-01,162.8,3.2440144509714433
256187,EAGG,monthly,2018-12-01,114.7,2.739291437247249
256222,EAGG,monthly,2021-11-01,116.2,2.837275739492383
256223,EAGG,monthly,2021-12-01,124.5,3.379455545248788
256227,EAGG,monthly,2022-04-01,111.4,2.5237259723079557
256234,EAGG,monthly,2022-11-01,118.4,2.980986049451912
256235,EAGG,monthly,2022-12-01,136.4,4.156797676393515
256247,EAGG,monthly,2023-12-01,113.3,2.6478394218184578
256257,EAGG,monthly,2024-10-01,124.7,3.392520118881473
256258,EAGG,monthly,2024-11-01,128.5,3.6407470179024775
256259,EAGG,monthly,2024-12-01,152.9,5.2346250010899835
258364,EAGH,monthly,2014-12-01,133.1,2.597773509814431
258400,EAGH,monthly,2017-12-01,133.7,2.621277991514839
258412,EAGH,monthly,2018-12-01,138.8,2.8210660859683143
258424,EAGH,monthly,2019-12-01,134.0,2.633030232365044
258460,EAGH,monthly,2022-12-01,146.1,3.1070372799899526
258472,EAGH,monthly,2023-12-01,145.3,3.075697971056075
258484,EAGH,monthly,2024-12-01,143.8,3.0169367668050535
258797,EAGI,monthly,2013-12-01,136.3,2.5338000681203496
258809,EAGI,monthly,2014-12-01,139.6,2.6513803015836706
258845,EAGI,monthly,2017-12-01,137.0,2.5587413297640844
258857,EAGI,monthly,2018-12-01,141.1,2.704825862248817
258869,EAGI,monthly,2019-12-01,137.1,2.5623043671417602
258905,EAGI,monthly,2022-12-01,146.8,2.9079189927763722
258917,EAGI,monthly,2023-12-01,147.5,2.9328602544201066
258929,EAGI,monthly,2024-12-01,148.3,2.9613645534415185
259318,EAGJ,monthly,2020-04-01,21.6,-3.168021774086975
259319,EAGJ,monthly,2020-05-01,27.8,-2.8218169810758758
259327,EAGJ,monthly,2021-01-01,25.8,-2.933495946563327
259328,EAGJ,monthly,2021-02-01,28.5,-2.782729343155268
259329,EAGJ,monthly,2021-03-01,29.4,-2.732473808685915
259349,EAGJ,monthly,2022-11-01,130.2,2.89614605188163
259350,EAGJ,monthly,2022-12-01,141.0,3.499212465513868
231102,EAGJ,annual,2023-01-01,132.9,3.0469126552896904
259353,EAGJ,monthly,2023-03-01,124.2,2.561109155419277
259354,EAGJ,monthly,2023-04-01,140.9,3.4936285172394954
259355,EAGJ,monthly,2023-05-01,155.8,4.325636810121008
259356,EAGJ,monthly,2023-06-01,146.3,3.7951617240556144
259357,EAGJ,monthly,2023-07-01,149.6,3.979432017109908
259358,EAGJ,monthly,2023-08-01,132.1,3.0022410690947092
259359,EAGJ,monthly,2023-09-01,125.1,2.6113646898886294
259361,EAGJ,monthly,2023-11-01,131.3,2.9575694828997294
259362,EAGJ,monthly,2023-12-01,130.1,2.890562103607258
251328,EAGL,monthly,2021-12-01,110.1,2.628921516974687
251340,EAGL,monthly,2022-12-01,111.3,2.715739194066135
230436,EAGL,annual,2023-01-01,111.0,2.694034774793273
251344,EAGL,monthly,2023-04-01,110.9,2.686799968368986
251345,EAGL,monthly,2023-05-01,115.7,3.0340706767347765
251346,EAGL,monthly,2023-06-01,109.6,2.5927474848532506
251347,EAGL,monthly,2023-07-01,114.4,2.9400181932190415
251348,EAGL,monthly,2023-08-01,115.1,2.9906618381890517
251350,EAGL,monthly,2023-10-01,117.6,3.1715319987962345
251351,EAGL,monthly,2023-11-01,123.7,3.6128551906777604
251352,EAGL,monthly,2023-12-01,118.5,3.2366452566148207
230437,EAGL,annual,2024-01-01,113.6,2.8821397418247425
251354,EAGL,monthly,2024-02-01,112.5,2.8025568711575826
251356,EAGL,monthly,2024-04-01,110.8,2.6795651619446983
251357,EAGL,monthly,2024-05-01,118.0,3.200471224493384
251359,EAGL,monthly,2024-07-01,118.7,3.2511148694633953
251360,EAGL,monthly,2024-08-01,116.2,3.070244708856213
251361,EAGL,monthly,2024-09-01,108.5,2.5131646141860906
251362,EAGL,monthly,2024-10-01,114.2,2.925548580370467
251363,EAGL,monthly,2024-11-01,117.1,3.135357966674798
251364,EAGL,monthly,2024-12-01,125.7,3.757551319163506
254383,EAGM,monthly,2016-12-01,132.7,2.5668743862565995
254395,EAGM,monthly,2017-12-01,135.9,2.6887614272226146
254407,EAGM,monthly,2018-12-01,136.6,2.71542421743393
254419,EAGM,monthly,2019-12-01,136.8,2.7230421574943064
254455,EAGM,monthly,2022-12-01,143.4,2.9744341794867113
254467,EAGM,monthly,2023-12-01,140.4,2.8601650785810726
254479,EAGM,monthly,2024-12-01,150.1,3.2296351715093037
254868,EAGN,monthly,2020-04-01,41.6,-3.2850011560166124
254874,EAGN,monthly,2020-10-01,107.5,2.544637521191509
254876,EAGN,monthly,2020-12-01,107.5,2.544637521191509
254887,EAGN,monthly,2021-11-01,113.8,3.1019474402569283
254888,EAGN,monthly,2021-12-01,107.0,2.500406575233936
254898,EAGN,monthly,2022-10-01,107.0,2.500406575233936
254899,EAGN,monthly,2022-11-01,113.5,3.075408872682385
254905,EAGN,monthly,2023-05-01,110.2,2.783484629362403
254907,EAGN,monthly,2023-07-01,111.0,2.85425414289452
254911,EAGN,monthly,2023-11-01,116.7,3.358486926810852
254923,EAGN,monthly,2024-11-01,113.0,3.031177926724812
254924,EAGN,monthly,2024-12-01,115.2,3.2257940889381334
257017,EAGO,monthly,2013-12-01,135.4,2.5399843233495996
257029,EAGO,monthly,2014-12-01,138.6,2.6564717985689437
257053,EAGO,monthly,2016-12-01,135.1,2.5290636225477856
257065,EAGO,monthly,2017-12-01,138.0,2.6346303969653166
257077,EAGO,monthly,2018-12-01,141.4,2.75839833938587
257089,EAGO,monthly,2019-12-01,138.2,2.641910864166525
257125,EAGO,monthly,2022-12-01,147.8,2.9913732898245593
257137,EAGO,monthly,2023-12-01,146.4,2.940410019416096
257149,EAGO,monthly,2024-12-01,148.8,3.0277756258306043
257186,EAGP,monthly,1990-12-01,129.9,2.834144865298328
257538,EAGP,monthly,2020-04-01,23.7,-3.1913793332179576
257539,EAGP,monthly,2020-05-01,27.7,-2.9644292692437095
257547,EAGP,monthly,2021-01-01,31.0,-2.7771954664649554
257548,EAGP,monthly,2021-02-01,31.1,-2.771521714865599
257549,EAGP,monthly,2021-03-01,32.6,-2.686415440875256
257569,EAGP,monthly,2022-11-01,134.9,3.1178324452661377
257570,EAGP,monthly,2022-12-01,145.2,3.7022288599998254
230954,EAGP,annual,2023-01-01,135.2,3.1348537000642054
257574,EAGP,monthly,2023-04-01,134.8,3.1121586936667818
257575,EAGP,monthly,2023-05-01,146.9,3.798682637188882
257576,EAGP,monthly,2023-06-01,144.2,3.6454913440062633
257577,EAGP,monthly,2023-07-01,151.7,4.071022713957978
257578,EAGP,monthly,2023-08-01,139.5,3.3788250188365225
257579,EAGP,monthly,2023-09-01,132.3,2.970314903682877
257580,EAGP,monthly,2023-10-01,133.0,3.0100311648783697
257581,EAGP,monthly,2023-11-01,145.9,3.74194512119532
257582,EAGP,monthly,2023-12-01,143.1,3.5830800764133457
257589,EAGP,monthly,2024-07-01,128.9,2.7774073493047657
257590,EAGP,monthly,2024-08-01,130.6,2.8738611264938205
257594,EAGP,monthly,2024-12-01,134.9,3.1178324452661377
260975,EAGR,monthly,2010-01-01,56.9,-2.633847213173488
261080,EAGR,monthly,2018-10-01,115.9,2.700056795957909
261081,EAGR,monthly,2018-11-01,118.8,2.9622317387796206
261098,EAGR,monthly,2020-04-01,44.3,-3.772952137157481
261104,EAGR,monthly,2020-10-01,137.4,4.643767578946468
261105,EAGR,monthly,2020-11-01,136.4,4.553362426249326
261106,EAGR,monthly,2020-12-01,114.7,2.5915706127213376
261110,EAGR,monthly,2021-04-01,121.5,3.2063256510619054
261111,EAGR,monthly,2021-05-01,130.1,3.9838099642573286
261112,EAGR,monthly,2021-06-01,117.9,2.8808671013521936
261113,EAGR,monthly,2021-07-01,114.0,2.528287005833338
261116,EAGR,monthly,2021-10-01,116.1,2.7181378264973364
261117,EAGR,monthly,2021-11-01,121.1,3.170163589983048
263740,EAGS,monthly,2017-12-01,129.9,2.6734222512773553
263752,EAGS,monthly,2018-12-01,125.4,2.5142502242167493
263764,EAGS,monthly,2019-12-01,133.3,2.7936855606120354
263776,EAGS,monthly,2020-12-01,130.8,2.705256656689477
263788,EAGS,monthly,2021-12-01,140.7,3.0554351162228093
263800,EAGS,monthly,2022-12-01,150.7,3.4091507319130447
263812,EAGS,monthly,2023-12-01,147.3,3.2888874225783655
263823,EAGS,monthly,2024-11-01,134.1,2.821982809867254
263824,EAGS,monthly,2024-12-01,171.7,4.151953524862539
264209,EAGT,monthly,2019-12-01,111.0,2.5863521801420917
264216,EAGT,monthly,2020-07-01,113.4,2.76389674305865
264221,EAGT,monthly,2020-12-01,110.5,2.5493637295344755
264226,EAGT,monthly,2021-05-01,110.9,2.578954490020569
264231,EAGT,monthly,2021-10-01,112.3,2.682522151721894
264232,EAGT,monthly,2021-11-01,119.7,3.229951220714614
264233,EAGT,monthly,2021-12-01,111.4,2.615942940628185
264256,EAGT,monthly,2023-11-01,111.4,2.615942940628185
264262,EAGT,monthly,2024-05-01,110.0,2.5123752789268594
264268,EAGT,monthly,2024-11-01,117.5,3.0672020380411023
264269,EAGT,monthly,2024-12-01,118.3,3.126383559013288
194140,EAGX,monthly,2014-12-01,131.3,2.5104429375527872
194164,EAGX,monthly,2016-12-01,136.9,2.766822455645373
194176,EAGX,monthly,2017-12-01,137.6,2.7988698954069458
194188,EAGX,monthly,2018-12-01,139.3,2.8766993919707673
194200,EAGX,monthly,2019-12-01,140.5,2.931637860133464
194212,EAGX,monthly,2020-12-01,131.3,2.5104429375527872
194260,EAGX,monthly,2024-12-01,131.5,2.519599348913236
196810,EAGY,monthly,2014-12-01,142.8,2.657675376418622
196834,EAGY,monthly,2016-12-01,139.2,2.525557574109464
196846,EAGY,monthly,2017-12-01,141.0,2.591616475264043
196858,EAGY,monthly,2018-12-01,145.4,2.7530937891974574
196870,EAGY,monthly,2019-12-01,142.6,2.650335498512557
196906,EAGY,monthly,2022-12-01,142.2,2.635655742700428
200238,EAGZ,monthly,2003-12-01,148.3,2.5861343630679325
200274,EAGZ,monthly,2006-12-01,152.2,2.772521174699342
200286,EAGZ,monthly,2007-12-01,147.2,2.5335637238898414
203485,EAHA,monthly,2014-12-01,120.1,2.5494218664502846
203509,EAHA,monthly,2016-12-01,126.0,2.8576655646629643
203521,EAHA,monthly,2017-12-01,127.7,2.946481545503906
203533,EAHA,monthly,2018-12-01,126.7,2.894236850891587
203545,EAHA,monthly,2019-12-01,133.5,3.249500774255353
203557,EAHA,monthly,2020-12-01,132.3,3.186807140720571
203568,EAHA,monthly,2021-11-01,122.9,2.695707011364777
203569,EAHA,monthly,2021-12-01,132.9,3.2181539574879623
203581,EAHA,monthly,2022-12-01,123.9,2.7479517059770955
203593,EAHA,monthly,2023-12-01,120.6,2.575544213756444
203604,EAHA,monthly,2024-11-01,120.4,2.565095274833981
203605,EAHA,monthly,2024-12-01,139.3,3.552520003006801
195463,EAHI,monthly,2013-12-01,153.7,2.858025720168661
195475,EAHI,monthly,2014-12-01,154.5,2.888445355529236
195487,EAHI,monthly,2015-12-01,164.9,3.2839006152167043
195499,EAHI,monthly,2016-12-01,176.2,3.713577964684818
195511,EAHI,monthly,2017-12-01,178.7,3.808639325186613
195523,EAHI,monthly,2018-12-01,177.6,3.7668123265658235
195535,EAHI,monthly,2019-12-01,172.9,3.588096968822449
195547,EAHI,monthly,2020-12-01,155.6,2.9302723541500257
195559,EAHI,monthly,2021-12-01,146.0,2.5652367298231322
195571,EAHI,monthly,2022-12-01,150.9,2.7515569964066513
195595,EAHI,monthly,2024-12-01,152.6,2.8161987215478717
195908,EAHJ,monthly,2013-12-01,159.5,2.84845058574915
195920,EAHJ,monthly,2014-12-01,160.0,2.865911607836648
195932,EAHJ,monthly,2015-12-01,171.6,3.2710073202665884
195944,EAHJ,monthly,2016-12-01,186.0,3.7738847563865154
195956,EAHJ,monthly,2017-12-01,187.0,3.8088068005615106
195968,EAHJ,monthly,2018-12-01,183.2,3.6761030326965294
195980,EAHJ,monthly,2019-12-01,179.1,3.5329226515790504
195992,EAHJ,monthly,2020-12-01,159.5,2.84845058574915
196016,EAHJ,monthly,2022-12-01,152.9,2.617965094194184
196040,EAHJ,monthly,2024-12-01,153.6,2.64241052511668
196197,EAHK,monthly,2000-12-01,125.3,3.0558862181985353
196221,EAHK,monthly,2002-12-01,119.3,2.609762433857948
196413,EAHK,monthly,2018-12-01,125.2,3.0484508217928594
196437,EAHK,monthly,2020-12-01,119.0,2.587456244640919
196448,EAHK,monthly,2021-11-01,122.1,2.8179535332168886
196449,EAHK,monthly,2021-12-01,130.0,3.405349849265329
196461,EAHK,monthly,2022-12-01,132.3,3.5763639665958884
196484,EAHK,monthly,2024-11-01,121.5,2.7733411547828304
196485,EAHK,monthly,2024-12-01,144.0,4.446305346060033
198590,EAHL,monthly,2014-12-01,146.6,2.668775542636948
198626,EAHL,monthly,2017-12-01,142.7,2.532762738747809
198638,EAHL,monthly,2018-12-01,148.5,2.7350381906855032
198650,EAHL,monthly,2019-12-01,143.8,2.571125324460131
199023,EAHM,monthly,2013-12-01,148.9,2.5553124023528593
199035,EAHM,monthly,2014-12-01,153.8,2.7112602994134822
199059,EAHM,monthly,2016-12-01,148.0,2.52666891105601
199083,EAHM,monthly,2018-12-01,151.0,2.6221472153788405
199488,EAHN,monthly,2015-08-01,129.0,2.809999083887184
199512,EAHN,monthly,2017-08-01,132.2,2.9963849590629663
199524,EAHN,monthly,2018-08-01,123.8,2.507122036726536
199528,EAHN,monthly,2018-12-01,130.9,2.9206656972728053
199535,EAHN,monthly,2019-07-01,129.1,2.8158236424864267
199536,EAHN,monthly,2019-08-01,128.2,2.7634026150932374
199544,EAHN,monthly,2020-04-01,24.1,-3.2999628867189585
199545,EAHN,monthly,2020-05-01,31.0,-2.898068343371176
199553,EAHN,monthly,2021-01-01,29.3,-2.997085839558311
199554,EAHN,monthly,2021-02-01,32.6,-2.8048754057832843
199555,EAHN,monthly,2021-03-01,33.2,-2.769928054187825
199575,EAHN,monthly,2022-11-01,125.3,2.594490415715184
199576,EAHN,monthly,2022-12-01,135.8,3.2060690686357236
171328,EAHN,annual,2023-01-01,124.4,2.5420693883219956
199580,EAHN,monthly,2023-04-01,133.1,3.0488059864561556
199581,EAHN,monthly,2023-05-01,145.4,3.765226694163073
199582,EAHN,monthly,2023-06-01,136.5,3.2468409788304253
199583,EAHN,monthly,2023-07-01,142.1,3.5730162603880458
199584,EAHN,monthly,2023-08-01,123.8,2.507122036726536
191158,EAHP,monthly,1988-12-01,156.8,3.37230214674824
191166,EAHP,monthly,1989-08-01,144.4,2.5313477096694927
191170,EAHP,monthly,1989-12-01,158.0,3.453684834207473
191177,EAHP,monthly,1990-07-01,144.6,2.5449114909126975
191182,EAHP,monthly,1990-12-01,154.2,3.195972990586566
194585,EAHQ,monthly,2014-12-01,142.0,2.5361410376230027
194597,EAHQ,monthly,2015-12-01,142.3,2.546885194061138
194609,EAHQ,monthly,2016-12-01,148.8,2.779675250220729
194621,EAHQ,monthly,2017-12-01,148.6,2.772512479261972
194633,EAHQ,monthly,2018-12-01,149.2,2.7940007921382417
194645,EAHQ,monthly,2019-12-01,149.7,2.8119077195351334
194718,EAHR,monthly,1988-12-01,122.7,3.334208468372341
194730,EAHR,monthly,1989-12-01,125.4,3.6242152120824755
194742,EAHR,monthly,1990-12-01,123.1,3.3771724304034714
194971,EAHR,monthly,2010-01-01,65.9,-2.766674140048249
195007,EAHR,monthly,2013-01-01,68.3,-2.5088903678614645
195077,EAHR,monthly,2018-11-01,116.5,2.6682670568898117
195090,EAHR,monthly,2019-12-01,116.3,2.646785075874246
195094,EAHR,monthly,2020-04-01,46.9,-4.807462336526969
195095,EAHR,monthly,2020-05-01,61.2,-3.271500693914038
195097,EAHR,monthly,2020-07-01,115.3,2.5393751707964185
195100,EAHR,monthly,2020-10-01,119.7,3.0119787531388593
195101,EAHR,monthly,2020-11-01,116.0,2.614562104350898
